cod_uf;cod_localidade;cod_municipio;uf;municipio;regiao;porte;capital
11;110003;1100031;RO;Cabixi;Regiao Norte;Pequeno I;NAO
11;110004;1100049;RO;Cacoal;Regiao Norte;Medio;NAO
11;110005;1100056;RO;Cerejeiras;Regiao Norte;Pequeno I;NAO
11;110006;1100064;RO;Colorado do Oeste;Regiao Norte;Pequeno I;NAO
11;110007;1100072;RO;Corumbiara;Regiao Norte;Pequeno I;NAO
11;110008;1100080;RO;Costa Marques;Regiao Norte;Pequeno I;NAO
11;110009;1100098;RO;Espigao D oeste;Regiao Norte;Pequeno II;NAO
11;110010;1100106;RO;Guajara-mirim;Regiao Norte;Pequeno II;NAO
11;110011;1100114;RO;Jaru;Regiao Norte;Medio;NAO
11;110012;1100122;RO;Ji-parana;Regiao Norte;Grande;NAO
11;110013;1100130;RO;Machadinho D oeste;Regiao Norte;Pequeno II;NAO
11;110014;1100148;RO;Nova Brasilandia D oeste;Regiao Norte;Pequeno I;NAO
11;110015;1100155;RO;Ouro Preto do Oeste;Regiao Norte;Pequeno II;NAO
11;110018;1100189;RO;Pimenta Bueno;Regiao Norte;Pequeno II;NAO
11;110020;1100205;RO;Porto Velho;Regiao Norte;Grande;SIM
11;110025;1100254;RO;Presidente Medici;Regiao Norte;Pequeno II;NAO
11;110026;1100262;RO;Rio Crespo;Regiao Norte;Pequeno I;NAO
11;110028;1100288;RO;Rolim de Moura;Regiao Norte;Medio;NAO
11;110029;1100296;RO;Santa Luzia D oeste;Regiao Norte;Pequeno I;NAO
11;110030;1100304;RO;Vilhena;Regiao Norte;Medio;NAO
11;110032;1100320;RO;Sao Miguel do Guapore;Regiao Norte;Pequeno II;NAO
11;110033;1100338;RO;Nova Mamore;Regiao Norte;Pequeno II;NAO
11;110034;1100346;RO;Alvorada D oeste;Regiao Norte;Pequeno I;NAO
11;110037;1100379;RO;Alto Alegre Dos Parecis;Regiao Norte;Pequeno I;NAO
11;110040;1100403;RO;Alto Paraiso;Regiao Norte;Pequeno I;NAO
11;110045;1100452;RO;Buritis;Regiao Norte;Pequeno II;NAO
11;110050;1100502;RO;Novo Horizonte do Oeste;Regiao Norte;Pequeno I;NAO
11;110060;1100601;RO;Cacaulandia;Regiao Norte;Pequeno I;NAO
11;110070;1100700;RO;Campo Novo de Rondonia;Regiao Norte;Pequeno I;NAO
11;110080;1100809;RO;Candeias do Jamari;Regiao Norte;Pequeno I;NAO
11;110090;1100908;RO;Castanheiras;Regiao Norte;Pequeno I;NAO
11;110092;1100924;RO;Chupinguaia;Regiao Norte;Pequeno I;NAO
11;110094;1100940;RO;Cujubim;Regiao Norte;Pequeno I;NAO
11;110100;1101005;RO;Governador Jorge Teixeira;Regiao Norte;Pequeno I;NAO
11;110110;1101104;RO;Itapua do Oeste;Regiao Norte;Pequeno I;NAO
11;110120;1101203;RO;Ministro Andreazza;Regiao Norte;Pequeno I;NAO
11;110130;1101302;RO;Mirante da Serra;Regiao Norte;Pequeno I;NAO
11;110140;1101401;RO;Monte Negro;Regiao Norte;Pequeno I;NAO
11;110143;1101435;RO;Nova Uniao;Regiao Norte;Pequeno I;NAO
11;110145;1101450;RO;Parecis;Regiao Norte;Pequeno I;NAO
11;110146;1101468;RO;Pimenteiras do Oeste;Regiao Norte;Pequeno I;NAO
11;110147;1101476;RO;Primavera de Rondonia;Regiao Norte;Pequeno I;NAO
11;110148;1101484;RO;Sao Felipe D oeste;Regiao Norte;Pequeno I;NAO
11;110149;1101492;RO;Sao Francisco do Guapore;Regiao Norte;Pequeno I;NAO
11;110150;1101500;RO;Seringueiras;Regiao Norte;Pequeno I;NAO
11;110155;1101559;RO;Teixeiropolis;Regiao Norte;Pequeno I;NAO
11;110160;1101609;RO;Theobroma;Regiao Norte;Pequeno I;NAO
11;110170;1101708;RO;Urupa;Regiao Norte;Pequeno I;NAO
11;110175;1101757;RO;Vale do Anari;Regiao Norte;Pequeno I;NAO
11;110180;1101807;RO;Vale do Paraiso;Regiao Norte;Pequeno I;NAO
12;120001;1200013;AC;Acrelandia;Regiao Norte;Pequeno I;NAO
12;120005;1200054;AC;Assis Brasil;Regiao Norte;Pequeno I;NAO
12;120010;1200104;AC;Brasileia;Regiao Norte;Pequeno II;NAO
12;120013;1200138;AC;Bujari;Regiao Norte;Pequeno I;NAO
12;120017;1200179;AC;Capixaba;Regiao Norte;Pequeno I;NAO
12;120020;1200203;AC;Cruzeiro do Sul;Regiao Norte;Medio;NAO
12;120025;1200252;AC;Epitaciolandia;Regiao Norte;Pequeno I;NAO
12;120030;1200302;AC;Feijo;Regiao Norte;Pequeno II;NAO
12;120032;1200328;AC;Jordao;Regiao Norte;Pequeno I;NAO
12;120033;1200336;AC;Mancio Lima;Regiao Norte;Pequeno I;NAO
12;120034;1200344;AC;Manoel Urbano;Regiao Norte;Pequeno I;NAO
12;120035;1200351;AC;Marechal Thaumaturgo;Regiao Norte;Pequeno I;NAO
12;120038;1200385;AC;Placido de Castro;Regiao Norte;Pequeno I;NAO
12;120039;1200393;AC;Porto Walter;Regiao Norte;Pequeno I;NAO
12;120040;1200401;AC;Rio Branco;Regiao Norte;Grande;SIM
12;120042;1200427;AC;Rodrigues Alves;Regiao Norte;Pequeno I;NAO
12;120043;1200435;AC;Santa Rosa do Purus;Regiao Norte;Pequeno I;NAO
12;120045;1200450;AC;Senador Guiomard;Regiao Norte;Pequeno II;NAO
12;120050;1200500;AC;Sena Madureira;Regiao Norte;Pequeno II;NAO
12;120060;1200609;AC;Tarauaca;Regiao Norte;Pequeno II;NAO
12;120070;1200708;AC;Xapuri;Regiao Norte;Pequeno I;NAO
12;120080;1200807;AC;Porto Acre;Regiao Norte;Pequeno I;NAO
13;130002;1300029;AM;Alvaraes;Regiao Norte;Pequeno I;NAO
13;130006;1300060;AM;Amatura;Regiao Norte;Pequeno I;NAO
13;130008;1300086;AM;Anama;Regiao Norte;Pequeno I;NAO
13;130010;1300102;AM;Anori;Regiao Norte;Pequeno I;NAO
13;130014;1300144;AM;Apui;Regiao Norte;Pequeno I;NAO
13;130020;1300201;AM;Atalaia do Norte;Regiao Norte;Pequeno I;NAO
13;130030;1300300;AM;Autazes;Regiao Norte;Pequeno II;NAO
13;130040;1300409;AM;Barcelos;Regiao Norte;Pequeno II;NAO
13;130050;1300508;AM;Barreirinha;Regiao Norte;Pequeno II;NAO
13;130060;1300607;AM;Benjamin Constant;Regiao Norte;Pequeno II;NAO
13;130063;1300631;AM;Beruri;Regiao Norte;Pequeno I;NAO
13;130068;1300680;AM;Boa Vista do Ramos;Regiao Norte;Pequeno I;NAO
13;130070;1300706;AM;Boca do Acre;Regiao Norte;Pequeno II;NAO
13;130080;1300805;AM;Borba;Regiao Norte;Pequeno II;NAO
13;130083;1300839;AM;Caapiranga;Regiao Norte;Pequeno I;NAO
13;130090;1300904;AM;Canutama;Regiao Norte;Pequeno I;NAO
13;130100;1301001;AM;Carauari;Regiao Norte;Pequeno II;NAO
13;130110;1301100;AM;Careiro;Regiao Norte;Pequeno II;NAO
13;130115;1301159;AM;Careiro da Varzea;Regiao Norte;Pequeno II;NAO
13;130120;1301209;AM;Coari;Regiao Norte;Medio;NAO
13;130130;1301308;AM;Codajas;Regiao Norte;Pequeno II;NAO
13;130140;1301407;AM;Eirunepe;Regiao Norte;Pequeno II;NAO
13;130150;1301506;AM;Envira;Regiao Norte;Pequeno I;NAO
13;130160;1301605;AM;Fonte Boa;Regiao Norte;Pequeno II;NAO
13;130165;1301654;AM;Guajara;Regiao Norte;Pequeno I;NAO
13;130170;1301704;AM;Humaita;Regiao Norte;Pequeno II;NAO
13;130180;1301803;AM;Ipixuna;Regiao Norte;Pequeno II;NAO
13;130185;1301852;AM;Iranduba;Regiao Norte;Pequeno II;NAO
13;130190;1301902;AM;Itacoatiara;Regiao Norte;Medio;NAO
13;130195;1301951;AM;Itamarati;Regiao Norte;Pequeno I;NAO
13;130200;1302009;AM;Itapiranga;Regiao Norte;Pequeno I;NAO
13;130210;1302108;AM;Japura;Regiao Norte;Pequeno I;NAO
13;130220;1302207;AM;Jurua;Regiao Norte;Pequeno I;NAO
13;130230;1302306;AM;Jutai;Regiao Norte;Pequeno I;NAO
13;130240;1302405;AM;Labrea;Regiao Norte;Pequeno II;NAO
13;130250;1302504;AM;Manacapuru;Regiao Norte;Medio;NAO
13;130255;1302553;AM;Manaquiri;Regiao Norte;Pequeno II;NAO
13;130260;1302603;AM;Manaus;Regiao Norte;Metropole;SIM
13;130270;1302702;AM;Manicore;Regiao Norte;Pequeno II;NAO
13;130280;1302801;AM;Maraa;Regiao Norte;Pequeno I;NAO
13;130290;1302900;AM;Maues;Regiao Norte;Medio;NAO
13;130300;1303007;AM;Nhamunda;Regiao Norte;Pequeno I;NAO
13;130310;1303106;AM;Nova Olinda do Norte;Regiao Norte;Pequeno II;NAO
13;130320;1303205;AM;Novo Airao;Regiao Norte;Pequeno I;NAO
13;130330;1303304;AM;Novo Aripuana;Regiao Norte;Pequeno II;NAO
13;130340;1303403;AM;Parintins;Regiao Norte;Grande;NAO
13;130350;1303502;AM;Pauini;Regiao Norte;Pequeno I;NAO
13;130353;1303536;AM;Presidente Figueiredo;Regiao Norte;Pequeno II;NAO
13;130356;1303569;AM;Rio Preto da Eva;Regiao Norte;Pequeno II;NAO
13;130360;1303601;AM;Santa Isabel do Rio Negro;Regiao Norte;Pequeno I;NAO
13;130370;1303700;AM;Santo Antonio do Ica;Regiao Norte;Pequeno II;NAO
13;130380;1303809;AM;Sao Gabriel da Cachoeira;Regiao Norte;Pequeno II;NAO
13;130390;1303908;AM;Sao Paulo de Olivenca;Regiao Norte;Pequeno II;NAO
13;130395;1303957;AM;Sao Sebastiao do Uatuma;Regiao Norte;Pequeno I;NAO
13;130400;1304005;AM;Silves;Regiao Norte;Pequeno I;NAO
13;130406;1304062;AM;Tabatinga;Regiao Norte;Medio;NAO
13;130410;1304104;AM;Tapaua;Regiao Norte;Pequeno I;NAO
13;130420;1304203;AM;Tefe;Regiao Norte;Medio;NAO
13;130423;1304237;AM;Tonantins;Regiao Norte;Pequeno I;NAO
13;130426;1304260;AM;Uarini;Regiao Norte;Pequeno I;NAO
13;130430;1304302;AM;Urucara;Regiao Norte;Pequeno I;NAO
13;130440;1304401;AM;Urucurituba;Regiao Norte;Pequeno I;NAO
14;140002;1400027;RR;Amajari;Regiao Norte;Pequeno I;NAO
14;140005;1400050;RR;Alto Alegre;Regiao Norte;Pequeno I;NAO
14;140010;1400100;RR;Boa Vista;Regiao Norte;Grande;SIM
14;140015;1400159;RR;Bonfim;Regiao Norte;Pequeno I;NAO
14;140017;1400175;RR;Canta;Regiao Norte;Pequeno I;NAO
14;140020;1400209;RR;Caracarai;Regiao Norte;Pequeno I;NAO
14;140023;1400233;RR;Caroebe;Regiao Norte;Pequeno I;NAO
14;140028;1400282;RR;Iracema;Regiao Norte;Pequeno I;NAO
14;140030;1400308;RR;Mucajai;Regiao Norte;Pequeno I;NAO
14;140040;1400407;RR;Normandia;Regiao Norte;Pequeno I;NAO
14;140045;1400456;RR;Pacaraima;Regiao Norte;Pequeno I;NAO
14;140047;1400472;RR;Rorainopolis;Regiao Norte;Pequeno II;NAO
14;140050;1400506;RR;Sao Joao da Baliza;Regiao Norte;Pequeno I;NAO
14;140060;1400605;RR;Sao Luiz;Regiao Norte;Pequeno I;NAO
14;140070;1400704;RR;Uiramuta;Regiao Norte;Pequeno I;NAO
15;150010;1500107;PA;Abaetetuba;Regiao Norte;Grande;NAO
15;150013;1500131;PA;Abel Figueiredo;Regiao Norte;Pequeno I;NAO
15;150020;1500206;PA;Acara;Regiao Norte;Medio;NAO
15;150030;1500305;PA;Afua;Regiao Norte;Pequeno II;NAO
15;150034;1500347;PA;Agua Azul do Norte;Regiao Norte;Pequeno II;NAO
15;150040;1500404;PA;Alenquer;Regiao Norte;Medio;NAO
15;150050;1500503;PA;Almeirim;Regiao Norte;Pequeno II;NAO
15;150060;1500602;PA;Altamira;Regiao Norte;Medio;NAO
15;150070;1500701;PA;Anajas;Regiao Norte;Pequeno II;NAO
15;150080;1500800;PA;Ananindeua;Regiao Norte;Grande;NAO
15;150085;1500859;PA;Anapu;Regiao Norte;Pequeno II;NAO
15;150090;1500909;PA;Augusto Correa;Regiao Norte;Pequeno II;NAO
15;150095;1500958;PA;Aurora do Para;Regiao Norte;Pequeno II;NAO
15;150100;1501006;PA;Aveiro;Regiao Norte;Pequeno I;NAO
15;150110;1501105;PA;Bagre;Regiao Norte;Pequeno II;NAO
15;150120;1501204;PA;Baiao;Regiao Norte;Pequeno II;NAO
15;150125;1501253;PA;Bannach;Regiao Norte;Pequeno I;NAO
15;150130;1501303;PA;Barcarena;Regiao Norte;Medio;NAO
15;150140;1501402;PA;Belem;Regiao Norte;Metropole;SIM
